Text,URL,First_P_Tag_Content
Talking Smart Glass for the Blind,https://www.hackster.io/B45i/talking-smart-glass-for-the-blind-87d31e,
Irazu a sip-and-puff joystick,https://www.hackster.io/olman/irazu-a-sip-and-puff-joystick-573f88,"""Irazu"" is an affordable, sustainable, and user-friendly assistive technology device designed to aid people with disabilities, particularly those with quadriplegia or similar conditions, in accessing and controlling their computers. It enables users to move the mouse cursor using head or lip movements and perform cursor clicks through breath control (sip and puff)."
Untitled,https://www.hackster.io/hansrajbissessur/untitled-5d85d9,
Elder Walking Aid,https://www.hackster.io/daveware/elder-walking-aid-d5029d,"An elder person with dementia, progressively loose their capacity to keep exercised by walking. They loose sight, memory, but walking capacity is almost intact. I will try to keep this capacity as long as possible with long walking sessions. The aid will have also a rest mode, and a possible chamber pot for emergencies. I know all these, because  my own mother is already sick with this illness, and I must be forced to care her in the name of the love I have for my mother."
Swimming assistant for people with visual impairments,https://www.hackster.io/mrmolex/swimming-assistant-for-people-with-visual-impairments-9e0d01,
BeyondBound Adventures,https://www.hackster.io/esandi20221527/beyondbound-adventures-81cabe,What is your project about?
Untitled,https://www.hackster.io/narendran2/untitled-9db8d2,
Robust Big Piezo Button,https://www.hackster.io/AlainsProjects/robust-big-piezo-button-7a6b89,
IPEC ESP32 ATM90E32 IoT Power Energy Controller and Monitor,https://www.hackster.io/DitroniX/ipec-esp32-atm90e32-iot-power-energy-controller-and-monitor-3980d2,"Following in the successful footsteps of my IPEM board, a variation of this board has been produced, called IPEC (IoT Power Energy Controller and Monitor SDK)"
Smart Travel Crane,https://www.hackster.io/509122/smart-travel-crane-c249c6,
Helmet that help in Social Distancing.,https://www.hackster.io/2013lucasrodrigues/helmet-that-help-in-social-distancing-12071e,"The project about social distancing to reduce the spread of coronavirus disease 2019 or Covid-19. The goal is a turn on buzzer to indicate a minimum distance between two people and to alert if the distance for break up.  This project use a PIR sensor, arduino uno, buzzer, battery 9V and ultrasonic sensor. When  the distance between the people that use a  helmet and another people is less than 1.5 meters buzzer will turn on. While distance less than 1.5 and PIR sensor High the buzzer is active."
Digital MASK,https://www.hackster.io/2013lucasrodrigues/digital-mask-e65b15,
Respirator with Air Flow Artificial System,https://www.hackster.io/2013lucasrodrigues/respirator-with-air-flow-artificial-system-65c909,
Home automation by internet and palms,https://www.hackster.io/2013lucasrodrigues/home-automation-by-internet-and-palms-5ff921,
Contol lamp into the water with palms,https://www.hackster.io/2013lucasrodrigues/contol-lamp-into-the-water-with-palms-02b9a7,"Control to  a Tesla Coil with palms because it´s innovation turn on and off light no cable and into the water. The people were surprised. I used arduino uno and relay shield, sound sensor, source de 32V e Coil with TIP 31  transistor. The arduino to turn on pin and closed relay, turn on Coil. "
Automatic Home Oficce,https://www.hackster.io/2013lucasrodrigues/automatic-home-oficce-738f43,"My project is about automatic home office because the people in around world must stay home. My project is very simple using a shield relay, sound sensor e arduino uno, but very useful with three palms turn on humidifier and two palms turn on fan."
Low cost Outdoor Air Quality Monitoring System,https://www.hackster.io/mafzal/low-cost-outdoor-air-quality-monitoring-system-3fbc77,Air Quality is the biggest issue of current century and it's growing day by day due to rapid growth of industries specially under developed countries are facing very negative impact on human beings as well as on other living organisms due to air pollution. To combat with pollution firstly we need a system to measure the pollution so that all the stake holders of the system take mandatory measurements to protect the environment. There are many devices in the market for air quality monitoring but expensive to sort out the issue I have developed a device with low cost open source controllers and sensors to carry out that project with free cloud services.
IoT based health monitoring system | Arduino Project,https://www.hackster.io/rajeshjiet/iot-based-health-monitoring-system-arduino-project-69056f,"IoT based patient health monitoring system is a generic term given to any medical equipment that has internet capability and can measure one or more health data of a patient who is connected to the device such as heartbeat, body temperature, blood pressure, ECG, steps etc. The equipment can record, transmit and alert if there is any abrupt change in the patient’s health."
Sign Glove,https://www.hackster.io/rushilsaraswat/sign-glove-add90e,
microcade: Build-your-own Arcade Machine,https://www.hackster.io/jackdaly897/microcade-build-your-own-arcade-machine-e0aa93,
DIY 433MHz 4-Channels Wireless Switcher Circuit (Arduino),https://www.hackster.io/hesam-moshiri/diy-433mhz-4-channels-wireless-switcher-circuit-arduino-a742b8,
Wireless Home Automation (Control and Monitoring),https://www.hackster.io/hesam-moshiri/wireless-home-automation-control-and-monitoring-ea1160,"Nowadays home automation is a trending topic among electronic  enthusiasts and even the mass population. People are busy with their  life challenges, so an electronic device should take care of the home  instead! The majority of such devices need internet or Wi-Fi for  connectivity or they don’t offer a user-friendly GUI, but I decided to  design a standalone wireless monitoring/controlling unit that can be  adjusted using a graphical and touch-controlled LCD display."
Powerful Digital AC Dimmer Using STM32,https://www.hackster.io/hesam-moshiri/powerful-digital-ac-dimmer-using-stm32-7f6b45,
Stereo Digital FM Transmitter Circuit (Arduino Code),https://www.hackster.io/hesam-moshiri/stereo-digital-fm-transmitter-circuit-arduino-code-2dbd8d,
ESP8266 Smart Home Water Level Monitoring,https://www.hackster.io/Sketchwork/esp8266-smart-home-water-level-monitoring-5447a5,
ESP32 GPS Tracking Device | Waterproof,https://www.hackster.io/Sketchwork/esp32-gps-tracking-device-waterproof-fabc2b,
